Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,PSOC,ISCO,SOC,AIOE,major_minor
Delivery Driver,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,8322.0,8322 p,43-5021,-0.9681462754612661,43
Demi Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012,-0.14891641817817763,35
Dental Hygienist,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,3251.0,3251,31-9091,-0.4413828025834359,31
Dental Laboratory Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,3251.0,3251,31-9091,-0.4413828025834359,31
Dentist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,2261.0,2261,29-1029,0.23801104445472598,29
Dermopigmentation/Tattoo Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,3435.0,3435,39-3099 ,-0.5276871682377668,39
Design Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,2141.0,2141,17-2112,1.3022721729014886,17
Development Education Assistant,Education,Other Education,Higher Education,Yes,No,3412.0,3412,21-1093,0.7806366196871929,21
Development Planning Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,2424.0,2424,13-1151 ,1.1966462559768865,13
Development Researcher,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,No,2310.0,2310,25-1199,0.8006554663832743,25
Dialysis Nurse,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,2221.0,2221,29-1171 ,0.27009032077777073,29
Diesel Power Plant Operator,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,3131.0,3131,51-8013,-0.6745700212605167,51
Digital Content Strategist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,2513.0,2513,15-1134 ,1.2355878663736692,15
Digital Fabrication Machine Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,7223.0,7223,51-4199,-0.883448634209523,51
Digital Marketing Specialist,"Professional, Scientific and Technical Activities",Advertising,Not Higher Education,No,No,2431.0,2431,27-3043 ,0.7743766257616718,27
Digital Sales Support Staff,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,No,2434.0,2434,41-9031,1.2014782802095343,41
Digital Transformation Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,2519.0,2519,15-1299,1.2355878663736692,15
Dispatch Coordinator,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,4412.0,4412,43-9051,-0.828177528731795,43
Dispatcher,Transportation and Storage,"Postal activities, Warehousing and storage",Higher Education,No,No,4323.0,4323,43-5032,1.1679053146236258,43
Diversity & Inclusion Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2422.0,2422,13-1199,1.4540568100648037,13
Document Controller (Construction),Construction,Construction of buildings,Higher Education,No,No,4415.0,4415,43-9071 ,-0.5283907736061705,43
Documentation Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,3433.0,3433,27-1012 ,-0.8672596469857901,27
Domestic Refrigeration And Air-Conditioning Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,7124.0,7124,47-2132,-1.3913864731220469,47
Doorkeeper,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,5414.0,5414,33-9093 ,-0.5182191975946915,33
Drafting Technician,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Higher Education,No,Yes,3118.0,3118,27-1013 ,-0.5800703514608596,27
Drafting Technician (Architecture),"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,3118.0,3118,27-1013 ,-0.5800703514608596,27
Draftsman,Construction,Other specialized construction activities,Not Higher Education,No,No,3118.0,3118,27-1013 ,-0.5800703514608596,27
Dressmaker,Manufacturing                                                ,Custom tailoring and dressmaking,Not Higher Education,No,No,7531.0,7531,51-6052,-0.5547315587881533,51
Drilling Rig Operators,Construction,Construction of utility projects,Not Higher Education,No,No,8111.0,8111,47-5044,-1.1172817235594896,47
Drying And Milling Plant Service Technician,Manufacturing                                                ,"Manufacture of grain mill products, starches and starch products",Not Higher Education,No,No,8189.0,8189,53-7011,-0.7654642333588086,53
Early Learning Materials Developer,Education,Other Education,Higher Education,Yes,No,2351.0,2351,25-9031,1.333804583640498,25
Ecological Survey Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,2269.0,2269,29-9092 ,1.5056696701614034,29
E-Commerce Data Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,2521.0,2521,15-1242,1.3407881770776935,15
E-Commerce Support Associate,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,Yes,4222.0,4222,43-4171 ,1.0117367283079466,43
Economic Data Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2631.0,2631,19-3011,1.3739893283132483,19
Economic Policy Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2631.0,2631,19-3011,1.3739893283132483,19
Economics Instructor,Education,Higher education,Higher Education,No,No,2631.0,2631,19-3011,1.3739893283132483,19
Eco-Tourism Guide,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,No,5113.0,5113,39-7012,0.45712205278374385,39
Eco-Tourism Program Aide,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,4221.0,4221,43-4181,0.2121430815192957,43
Eco-Tourism Program Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,4221.0,4221,43-4181,0.2121430815192957,43
Editorial Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,2642.0,2642,27-3041 ,1.1083010062005718,27
Education Program Assistant,Education,Other Education,Higher Education,No,Yes,5312.0,5312,25-9041 ,0.8006554663832743,25
Electric Discharge Machine-Sinking Operator,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,7212.0,7212,51-4122 ,-0.9644465077543026,51
Electric Power Distribution Line Worker,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,7413.0,7413,49-9051,-1.2416423994528298,49
Electrical Appliance Servicer,Other Service Activities,Repair of personal and household goods,Higher Education,No,No,7421.0,7421,49-2096,-0.8014663306886012,49
Electrical Distribution Engineer,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,Yes,No,2151.0,2151,17-2071,1.0699352703170644,17
Electrical Systems Technician,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,Yes,No,3113.0,3113,17-3024,-0.29230614171760083,17
Electrical Technician (Automotive),Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,3113.0,3113,17-3024,-0.29230614171760083,17
Electronic Products Assembler,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No,8212.0,8212,51-9194,-0.6501212176431842,51
Electronics Design Engineer,Manufacturing                                                ,Manufacture of electronic components,Higher Education,Yes,No,2152.0,2152,17-2072 ,0.6853776260103156,17
Electronics Operator,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No,8212.0,8212,51-9194,-0.6501212176431842,51
Electronics Repair Technician,Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes,3114.0,3114,17-3023,0.23070357188439491,17
Electronics Test Technician,Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes,3119.0,3119,53-6041,0.3835605034568007,53
Elevator Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,9629.0,9629,53-6021,-0.8449649307349394,53
Elevator Installation Technician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,3115.0,3115,17-3029,-0.03723197947582092,17
Elevator Installer,Construction,Other specialized construction activities,Not Higher Education,No,No,3115.0,3115,17-3029,-0.03723197947582092,17
Embalmer,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,5163.0,5163,39-4031,-0.28778644526116204,39
Embassy Administrative Attaché,Public Administration and Defense; Compulsory Social Security,Foreign affairs,Higher Education,No,Yes,4111.0,,43-6011,1.0600457450196432,43
Embedded Systems Developer,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,2512.0,2512,15-1133,1.2355878663736692,15
Embedded Systems Technician,Manufacturing                                                ,Manufacture of electronic components,Higher Education,Yes,No,7422.0,7422,49-9052,-1.0922437980466209,49
Embroiderer,Manufacturing                                                ,Manufacture of knitted and crocheted apparel,Not Higher Education,No,No,7533.0,7533,51-6051,-0.7125207574258047,51
Emergency Medical Technician,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,3258.0,3258,29-2041 ,0.23801104445472598,29
Emergency Response Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,3258.0,3258,29-2041 ,0.23801104445472598,29
Employee Engagement Officer,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,2423.0,2423,21-1012 ,1.390653349799162,21
Energy Auditors,Manufacturing                                                ,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Higher Education,No,No,3113.0,3113,17-3024,-0.29230614171760083,17
Energy Conservation Officer,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,3113.0,3113,17-3024,-0.29230614171760083,17
Engine Repair Specialist,Manufacturing                                                ,"Repair of fabricated metal products, machinery and equipment",Not Higher Education,No,No,7231.0,7231,49-3093,-1.5566147016651897,49
Engineered Bamboo Processor,Manufacturing                                                ,"Manufacture of products of wood, cork, straw and plaiting materials",Not Higher Education,No,No,7523.0,7523,51-7042,-1.1384208402675908,51
Engineering Assistant (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,3115.0,3115,17-3029,-0.03723197947582092,17
English Education Materials Writer,Education,Other Education,Higher Education,No,No,2351.0,2351,25-9031,1.333804583640498,25
English Subject Teacher,Education,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,2353.0,2353,25-3099 ,0.8006554663832743,25
Enterprise Development Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,3512.0,3512,15-1151 ,1.2355878663736692,15
Enumerator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Not Higher Education,No,No,4227.0,4227,43-4111 ,1.2578888587444599,43
Environment and Occupational Safety and Health Specialist (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,2263.0,2263,29-9011 ,0.23801104445472598,29
"Environment, Safety & Health Officers",Construction,Construction of utility projects,Higher Education,No,No,3257.0,3257,53-6051,0.19508127569846906,53
Environmental Compliance Analyst,"Water Supply; Sewerage, Waste Management and Remediation     ",Remediation activities and other waste management services,Higher Education,No,No,2143.0,2143,17-2081,1.3942922371302797,17
Environmental Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,No,2133.0,2133,19-2041 ,1.1214078377932841,19
Environmental Field Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,2143.0,2143,17-2081,1.3942922371302797,17
Environmental Health Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,2263.0,2263,29-9011 ,0.23801104445472598,29
Environmental Impact Analyst,"Water Supply; Sewerage, Waste Management and Remediation     ",Remediation activities and other waste management services,Higher Education,No,No,2133.0,2133,19-2041 ,1.1214078377932841,19
Equipment Dispatchers,Construction,Construction of utility projects,Not Higher Education,No,No,4321.0,4321,43-5111,-0.19905096755166246,43
Equipment Technicians,Construction,Construction of utility projects,Not Higher Education,No,No,3113.0,3113,17-3024,-0.29230614171760083,17
Equipment Tool Keepers,Construction,Other specialized construction activities,Not Higher Education,No,No,4321.0,4321,43-5111,-0.19905096755166246,43
Erection Crew,Construction,Construction of buildings,Not Higher Education,No,No,9313.0,9313,47-3019,-1.15238606969144,47
ESL Curriculum Assistant,Education,Other Education,Higher Education,No,Yes,2351.0,2351,25-9031,1.333804583640498,25
ESL Trainer,Education,Other Education,Higher Education,No,No,2356.0,2356,13-1151 ,1.1966462559768865,13
Estimator,Transportation and Storage,Warehousing and storage,Higher Education,Yes,No,2149.0,2149,17-2199,0.5129253723597855,17
Ethics Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,2310.0,2310,25-1199,0.8006554663832743,25
EU Policy Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2422.0,2422,13-1199,1.4540568100648037,13
Events Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,3332.0,3332,13-1121,0.3580352965169154,13
Executive Assistant (Airline),Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,3343.0,3343,43-6011,1.0600457450196432,43
Executive Secretary,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,3343.0,3343,43-6011,1.0600457450196432,43
Exercise Physiologist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,No,2131.0,2131,19-1099,1.1982784617699302,19
Exhibit Design Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,2163.0,2163,27-1029,0.733024170282144,27
Exhibits Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,2621.0,2621,25-4012,0.7188278381031682,25
Export Brokerage Clerk,Transportation and Storage,"Freight air transport, Sea and coastal water transport",Higher Education,No,Yes,3351.0,3351,33-3051,-0.7219361463874624,33
External Auditor,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,2411.0,2411,13-2082,1.3620743346972182,13
Eyelash And Eyebrow Technician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,5142.0,5142,39-5094,-0.18024459326191497,39
Fabric Quality Controller,Manufacturing                                                ,Manufacture of other textiles,Higher Education,No,No,7532.0,7532,51-9031,-0.9570047705546841,51
Facilities Management Assistant,Administrative and Support Service Activities,Landscape care and maintenance service activities,Higher Education,No,Yes,5153.0,5153,37-2011,-1.440933617762003,37
Facility Cleaning Specialist,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,9112.0,9112,53-7061,-1.6968081414087133,53
Failure Analysis Technician,Manufacturing                                                ,Manufacture of electronic components,Higher Education,No,Yes,3119.0,3119,53-6041,0.3835605034568007,53
Faith Formation Instructor,Education,Other education services,Higher Education,Yes,No,2341.0,2341,25-2022,1.2731661055605612,25
Faith-Based NGO Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,2423.0,2423,21-1012 ,1.390653349799162,21
Family Life Educator,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,2342.0,2342,25-2012,0.3484516434659395,25
Family Welfare Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,3412.0,3412,21-1093,0.7806366196871929,21
Farm Equipment Fabricator,Manufacturing                                                ,"Manufacture of structural metal products, tanks, reservoirs and steam generators",Not Higher Education,No,No,7233.0,7233,49-9081,-1.049182638556866,49
Farm Operations Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,3143.0,3143,19-4071,-0.6777790981433184,19
Farm Systems Technician,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,3142.0,3142,19-4011,1.1982784617699302,19
Farm Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,No,Yes,3142.0,3142,19-4011,1.1982784617699302,19
Farm Tour Assistant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,5113.0,5113,39-7012,0.45712205278374385,39
Fashion Designer,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Not Higher Education,No,No,2163.0,2163,27-1029,0.733024170282144,27
Fashion Exhibition Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,5223.0,5223,41-2031,0.07287236579588902,41
Fashion Merchandising Assistant,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale in Specialized Stores,Higher Education,No,Yes,2431.0,2431,27-3043 ,0.7743766257616718,27
Fiber Optic Cable Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,7422.0,7422,49-9052,-1.0922437980466209,49
Fiber Optic Technician,Information and Communication,Wired telecommunications activities,Higher Education,No,Yes,3254.0,3254,29-2081,0.1939856726874307,29
Field Agronomist Assistant,"Agriculture, Forestry, and Fishing",Plant propagation,Higher Education,Yes,No,3142.0,3142,19-4011,1.1982784617699302,19
Field Development Associate,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,2424.0,2424,13-1151 ,1.1966462559768865,13
Field Engineers,Construction,Construction of buildings,Higher Education,Yes,No,2142.0,2142,17-2051 ,1.303068832130924,17
Field Science Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,3256.0,3256,31-9092,0.131317826544596,31
Field Service Technician (Electronics),Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes,3114.0,3114,17-3023,0.23070357188439491,17
Filipino Content Strategist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,2432.0,2432,27-3031 ,1.2230614224333591,27
Filipino Language Educator,Education,Other Education,Higher Education,No,No,2353.0,2353,25-3099 ,0.8006554663832743,25
Filipino Sign Language Interpreter,Other Service Activities,"Other personal service activities, n.e.c.",Not Higher Education,No,No,2643.0,2643,27-3091,1.0640015601650763,27
Film and Video Editor,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No,2654.0,2654,27-4032 ,0.9134893505999866,27
Finance Assistant (Cooperatives),Financial and Insurance Activities,"Other financial service activities, except insurance and pension funding activities",Higher Education,No,Yes,3313.0,3313,43-3031,1.0204933974998105,43
Finance Associate,Financial and Insurance Activities,"Other financial service activities, except insurance and pension funding activities",Higher Education,No,Yes,3313.0,3313,43-3031,1.0204933974998105,43
Financial Auditor,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,2411.0,2411,13-2082,1.3620743346972182,13
Finishing Mason,Construction,Construction of buildings,Not Higher Education,No,No,7113.0,7113,47-4091 ,-0.9916104341060964,47
First-Aider,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,5329.0,5329,31-9099,-0.5134808423859277,31
Fish Finder Operator,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,7311.0,7311,49-9069 ,-1.0922437980466209,49
Fish Packaging Worker,Manufacturing                                                ,"Processing and preserving of fish, crustaceans and mollusks",Not Higher Education,No,No,7511.0,7511,51-3091 ,-0.7688751902862945,51
Fish Processing Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,Yes,No,7511.0,7511,51-3091 ,-0.7688751902862945,51
Fish Quality Inspector,"Agriculture, Forestry, and Fishing",Fishing,Higher Education,Yes,No,3359.0,3359,45-2011 ,0.15559590546894125,45
Fishery Operations Assistant,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,Yes,6221.0,6221 p,45-2093,-1.1166346396376288,45
Fishnet Maker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,7318.0,7318,51-6041,-0.8841484845166345,51
Fitness Instructor,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,No,3422.0,3422 p,39-9031,-2.032514091161482,39
Fitness Testing Technician,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes,3119.0,3119,53-6041,0.3835605034568007,53
Fixed Wireless Broadband Installer,Information and Communication,Wireless telecommunications activities,Not Higher Education,No,No,7422.0,7422,49-9052,-1.0922437980466209,49
Flight Dispatch Officer,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,4323.0,4323,43-5032,1.1679053146236258,43
Flight Engineers,Transportation and Storage,Support activities for transportation,Higher Education,No,No,3153.0,3153,53-2012,-0.20579250907632357,53
Flight Operations Assistant,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,Yes,7232.0,7232,49-3011,-0.6954195207175982,49
Florist,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,7549.0,7549,51-9083 ,-0.6074750429114406,51
Food and Beverage Attendant,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,Yes,5131.0,5131,35-3041 ,-0.7755887983642628,35
Food Processing Worker,Manufacturing                                                ,Manufacture of other food products,Not Higher Education,No,No,7511.0,7511,51-3091 ,-0.7688751902862945,51
Food Product Developer,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,3434.0,3434,35-1012,-0.14891641817817763,35
Food Safety Officer,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,No,3257.0,3257,53-6051,0.19508127569846906,53
Food Service Worker,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,5246.0,5246,35-9011 ,-1.826941747515469,35
Food Technologist,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,2132.0,2132,25-9021,0.8006554663832743,25
Foreign Affairs Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2421.0,2421,13-1111,1.369842507381068,13
Foreign Language Teacher (Arabic),Education,Other education services,Higher Education,Yes,No,2353.0,2353,25-3099 ,0.8006554663832743,25
Foreign Policy Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,2422.0,2422,13-1199,1.4540568100648037,13
Forensic Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,2411.0,2411,13-2082,1.3620743346972182,13
Forensic Lab Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,3119.0,3119,53-6041,0.3835605034568007,53
Forensic Laboratory Analyst,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,3119.0,3119,53-6041,0.3835605034568007,53
Forestry Extension Assistant,"Agriculture, Forestry, and Fishing",Silviculture and other forestry activities,Higher Education,Yes,No,2132.0,2132,25-9021,0.8006554663832743,25
Forging Machine Operator,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,7221.0,7221,51-4199 ,-0.883448634209523,51
Forklift Drivers,Transportation and Storage,Other land transport,Not Higher Education,No,No,8344.0,8344,53-7051 ,-1.298820999584999,53
Forklift Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,8344.0,8344,53-7051 ,-1.298820999584999,53
Formworks Crew,Construction,Construction of buildings,Not Higher Education,No,No,9313.0,9313,47-3019,-1.15238606969144,47
Foundry Melter,Manufacturing                                                ,Casting of metals,Not Higher Education,No,No,7224.0,7224,51-9022,-1.0588021445746334,51
Foundry Molder,Manufacturing                                                ,Casting of metals,Not Higher Education,No,No,7211.0,7211,51-4072 ,-1.1541431770984385,51
Foundry Patternmaker,Manufacturing                                                ,Casting of metals,Not Higher Education,No,No,7222.0,7222,51-4192,-0.7322789568903688,51
Freight and Furniture Handlers,Transportation and Storage,Freight air transport,Not Higher Education,No,No,9333.0,9333,53-7121,-1.3945203591395479,53
Front End Game Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2512.0,2512,15-1133,1.2355878663736692,15
Front Office Agent,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,4226.0,4226,43-4171,1.0117367283079466,43
Front-End Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2513.0,2513,15-1134 ,1.2355878663736692,15
Front-End Web Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,2513.0,2513,15-1134 ,1.2355878663736692,15
Furniture Maker Finisher,Manufacturing                                                ,Manufacture of furniture,Not Higher Education,No,No,8219.0,8219,51-2099,-0.883448634209523,51
Game Designer,Information and Communication,Other information service activities,Higher Education,No,No,2166.0,2166,27-1024,0.733024170282144,27
Game Programmer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,2166.0,2166,27-1024,0.733024170282144,27
Garment Technician,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,2163.0,2163,27-1029,0.733024170282144,27
Gas Welder (Oxy-Acetylene),Construction,Other specialized construction activities,Not Higher Education,No,No,7212.0,7212,51-4122 ,-0.9644465077543026,51
Genealogist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,2633.0,2633,19-3099,1.3409751077112815,19
General Subject Basic Education Teacher,Education,Primary/elementary education,Higher Education,Yes,No,2330.0,2330,25-2031,1.1884950168906403,25
General Subject High School Teacher,Education,Secondary/high school education,Higher Education,Yes,No,2330.0,2330,25-2031,1.1884950168906403,25
Generator Set Tenders,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,3131.0,3131,51-8013,-0.6745700212605167,51
Geothermal Plant Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Manufacture of gas; distribution of gaseous fuels through mains,Higher Education,No,Yes,2114.0,2114,19-2043,0.6232162857528429,19
Geriatric Physical Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,2264.0,2264,29-1128,-0.03734402783290348,29
GIS & Spatial Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,3511.0,3511,15-1299,1.2355878663736692,15
Global Programs Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,2423.0,2423,21-1012 ,1.390653349799162,21
Gondola Tenders,Construction,Other specialized construction activities,Not Higher Education,No,No,8343.0,8343,53-7041,-0.9871245285050874,53
Government Program Officer,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,2423.0,2423,21-1012 ,1.390653349799162,21
Government Records Assistant,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes,4110.0,4110,43-9061 ,0.9698125993622836,43
Graphic Designer,Information and Communication,Other information service activities,Higher Education,No,No,2513.0,2513,15-1134 ,1.2355878663736692,15
Green Coffee Beans Processor,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,6117.0,6112,45-2091,-1.153152853548008,45
Ground Operations Crew Member,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,5111.0,5111,53-6061,-0.3872555286506614,53
GTAW/TIG Welder,Construction,Other specialized construction activities,Not Higher Education,No,No,7212.0,7212,51-4122 ,-0.9644465077543026,51
Guest Relations Associate,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,4224.0,4224,43-4081,0.589195436762273,43
Hairdresser,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,5141.0,5141,39-5012,-0.6928416342196729,39
